Date,"San Francisco, California","Hillsborough, Florida","Cook, Illinois","New York, New York","Harris, Texas","Wayne, Michigan","King, Washington","Suffolk, Massachusetts","Milwaukee, Wisconsin","Ontario, Canada",Italy,Spain,France,Germany,United Kingdom,Norway,Sweden,Iran,Turkey,"Beijing, China","Hubei, China","Korea, South",Malaysia,"New South Wales, Australia"
2/22/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.007575757575757569,0.02269317927930814,1.1225490196078431,0.0,0.0
2/23/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5357142857142858,0.0,0.0,0.0,0.39030023094688215,0.0,0.0
2/24/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.4774193548387098,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.4186046511627908,0.0,0.0,0.0031677173709505624,0.38372093023255816,0.0,0.0
2/25/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4061135371179039,2.0,0.16666666666666674,0.0625,0.0,0.0,0.0,0.5573770491803278,0.0,0.0025062656641603454,0.007762066980882665,0.17286914765906358,0.0,0.0
2/26/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068322981366459,1.1666666666666665,0.2857142857142858,0.588235294117647,0.0,0.0,1.0,0.4631578947368422,0.0,0.0,0.006189608866113083,0.29068577277379726,0.0,0.0
2/27/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44591611479028703,0.15384615384615374,1.1111111111111112,0.7037037037037037,0.15384615384615374,0.0,2.5,0.7625899280575539,0.0,0.02499999999999991,0.006274257137159234,0.4004758128469468,0.045454545454545414,0.0
2/28/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35572519083969456,1.1333333333333333,0.5,0.04347826086956519,0.33333333333333326,5.0,0.0,0.583673469387755,0.0,0.0,0.004847856576620568,0.32332955832389576,0.0,0.0
2/29/20,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.8333333333333333,0.2702702702702702,0.40625,0.7543859649122806,0.6458333333333333,0.1499999999999999,1.5,0.7142857142857142,0.5283505154639174,0.0,0.0024390243902439046,0.00641745304487662,0.3478818998716302,0.08695652173913038,0.0
3/1/20,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.36363636363636354,0.50177304964539,0.8666666666666667,0.30000000000000004,0.6455696202531647,0.5652173913043479,0.2666666666666666,0.16666666666666674,0.6492411467116357,0.0,0.0048661800486617945,0.00859248986236949,0.186031746031746,0.15999999999999992,0.5
3/2/20,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.19999999999999996,0.2018890200708383,0.4285714285714286,0.46923076923076934,0.22307692307692317,0.11111111111111116,0.3157894736842106,0.0714285714285714,0.5347648261758691,0.0,0.002421307506053294,0.002929439371067266,0.16033190578158463,0.0,0.0
